Date, Close/Last, Volume, Open, High, Low
08/21/2020, $322.23, 1174791, $319.86, $322.6, $318.4
08/20/2020, $320.06, 1083578, $310, $320.655, $309.94
08/19/2020, $310.55, 991195, $308.67, $313.95, $305.86
08/18/2020, $308.9, 755750, $310, $311, $306.58
08/17/2020, $308.01, 714919, $307.84, $310.015, $306.83
08/14/2020, $305.54, 596048, $307.55, $308.74, $304.82
08/13/2020, $306.71, 760839, $305.25, $310.71, $305.25
08/12/2020, $304.75, 813950, $299.93, $305.6, $299.88
08/11/2020, $299.2, 828403, $303.63, $305.15, $298.47
08/10/2020, $304.18, 569011, $308.1, $308.75, $301.01
08/07/2020, $309.43, 752038, $311.39, $312.425, $306.22
08/06/2020, $312.23, 716744, $310.36, $312.42, $307.865
08/05/2020, $310.95, 863030, $311.26, $312.72, $308.64
08/04/2020, $310.64, 1200944, $310.81, $312.38, $307.24
08/03/2020, $311.7, 1248595, $309.84, $313.45, $308.97
07/31/2020, $306.37, 1015630, $304.77, $306.49, $298.87
07/30/2020, $303.94, 867332, $297.1, $305.05, $295.05
07/29/2020, $302.18, 1115551, $298.87, $305.22, $298.02
07/28/2020, $296.8, 1050268, $292.28, $300.67, $292.21
07/27/2020, $296.145, 1227911, $290.47, $297.43, $290.46
07/24/2020, $288.68, 1193362, $290.45, $291.11, $286.35
