Date, Close/Last, Volume, Open, High, Low
08/21/2020, $196.79, 6092535, $197.93, $199.0999, $196.22
08/20/2020, $198.18, 6772962, $192.06, $198.7, $191.51
08/19/2020, $192.44, 6865340, $195.06, $196.84, $191.92
08/18/2020, $194.57, 5362472, $197.73, $198.75, $194
08/17/2020, $196.29, 6279277, $193.92, $197.42, $193.25
08/14/2020, $191.46, 4847965, $195.19, $195.4687, $190.51
08/13/2020, $193.07, 10082360, $192.1, $195.13, $191.48
08/12/2020, $191.32, 7939997, $190, $192.51, $189.4
08/11/2020, $189.03, 9155292, $192, $193.535, $186.52
08/10/2020, $193.32, 8792199, $198.7, $199.85, $191.69
08/07/2020, $198.63, 6525299, $203.71, $203.9509, $196.7
08/06/2020, $204.09, 5821425, $202, $204.16, $198.88
08/05/2020, $202.91, 7573326, $199, $204.23, $198.09
08/04/2020, $197.33, 5771585, $196.35, $199.1, $195.5206
08/03/2020, $197.07, 7961646, $198.25, $199.4, $195.22
07/31/2020, $196.07, 10865370, $193.05, $196.35, $191.69
07/30/2020, $192.51, 16803590, $191.81, $198.6599, $189.1314
07/29/2020, $184.6, 15436640, $178.45, $185.44, $178.27
07/28/2020, $176.27, 6125669, $178.01, $179.58, $176.0102
07/27/2020, $177.98, 6868784, $173.92, $178.46, $172.39
07/24/2020, $172.56, 6256092, $171.08, $173.6, $169.08
