Date, Close/Last, Volume, Open, High, Low
08/21/2020, $42.6, 4204698, $41.85, $42.71, $41.6
08/20/2020, $42, 1303744, $42.26, $42.63, $41.65
08/19/2020, $42.52, 1581856, $43.3, $43.52, $42.38
08/18/2020, $43.24, 1388676, $43.65, $43.79, $43.17
08/17/2020, $43.68, 1613927, $44.58, $44.58, $43.32
08/14/2020, $44.52, 1051783, $44.54, $44.94, $44.09
08/13/2020, $44.53, 1768176, $44.96, $44.96, $44.08
08/12/2020, $44.96, 1460913, $46.12, $46.29, $44.86
08/11/2020, $45.81, 1898310, $45.71, $46.64, $45.2303
08/10/2020, $45.4, 1574385, $45.45, $45.69, $44.68
08/07/2020, $45.36, 2843473, $43.42, $45.36, $43.35
08/06/2020, $43.26, 5080750, $44.44, $44.9862, $42.32
08/05/2020, $46.85, 2169874, $47.28, $47.36, $46.22
08/04/2020, $46.69, 2839806, $44.67, $47.49, $44.5
08/03/2020, $44.68, 1110680, $44.71, $45.1, $44.36
07/31/2020, $44.6, 1331958, $44.92, $45.34, $43.965
07/30/2020, $45.24, 2120168, $44.06, $45.3, $43.8
07/29/2020, $44.79, 983038, $43.59, $45.33, $43.245
07/28/2020, $43.5, 1297812, $43.47, $43.87, $43.38
07/27/2020, $43.45, 1009742, $43.13, $43.53, $42.47
07/24/2020, $43.24, 1238521, $44.12, $44.12, $42.98
