Date, Close/Last, Volume, Open, High, Low
08/21/2020, $460.33, 504197, $460.88, $463.31, $458.01
08/20/2020, $461.99, 533158, $462.51, $467.305, $461.09
08/19/2020, $466.06, 516173, $470.01, $473.2299, $464.8519
08/18/2020, $470.1, 516941, $475, $477.22, $465.915
08/17/2020, $469.46, 374332, $464, $471, $463.98
08/14/2020, $463.55, 338001, $461.1, $466.65, $461
08/13/2020, $461.34, 358403, $461, $466.725, $459.08
08/12/2020, $463.51, 454003, $456.27, $466.4, $456.27
08/11/2020, $454.02, 708419, $463.31, $463.31, $452.525
08/10/2020, $461.15, 424725, $465, $468.88, $459.7
08/07/2020, $465.18, 454243, $463.21, $469.73, $462.69
08/06/2020, $466.07, 526423, $466.85, $470.62, $463.32
08/05/2020, $468.53, 412223, $474.72, $475.6747, $466.59
08/04/2020, $472.88, 557965, $470.01, $476.5273, $467.0418
08/03/2020, $473.79, 560641, $479.61, $480.695, $471.01
07/31/2020, $477.38, 656013, $479.31, $481.12, $471.25
07/30/2020, $480.52, 1524590, $480, $487.95, $470.3
07/29/2020, $455.77, 820828, $450.77, $458.91, $448.36
07/28/2020, $450.05, 607877, $456.39, $458.68, $449.66
07/27/2020, $450.45, 897861, $443.71, $451.855, $443.62
07/24/2020, $442.34, 812877, $446.04, $451.23, $442.15
