Date, Close/Last, Volume, Open, High, Low
08/21/2020, $9.11, 7932468, $9.22, $9.335, $9.08
08/20/2020, $9.2, 7664812, $9.45, $9.455, $9.19
08/19/2020, $9.52, 7293773, $9.54, $9.707, $9.46
08/18/2020, $9.53, 4551132, $9.78, $9.78, $9.52
08/17/2020, $9.78, 5472313, $9.86, $9.879, $9.725
08/14/2020, $9.9, 5322330, $9.73, $10.04, $9.66
08/13/2020, $9.77, 4153630, $9.81, $9.95, $9.74
08/12/2020, $9.97, 6369924, $10.29, $10.385, $9.8
08/11/2020, $10.09, 7255725, $10.09, $10.42, $10.035
08/10/2020, $9.87, 6664670, $9.72, $9.95, $9.6699
08/07/2020, $9.66, 7202565, $9.23, $9.68, $9.17
08/06/2020, $9.3, 4408926, $9.304, $9.46, $9.23
08/05/2020, $9.39, 6292892, $9.25, $9.43, $9.18
08/04/2020, $9.17, 6545111, $9.3, $9.3, $9.12
08/03/2020, $9.265, 7791171, $9.37, $9.375, $9.165
07/31/2020, $9.27, 14092180, $9.18, $9.29, $9.09
07/30/2020, $9.31, 6761096, $9.22, $9.33, $9.02
07/29/2020, $9.45, 10358010, $9.09, $9.475, $9.02
07/28/2020, $9.13, 12542260, $9.22, $9.4, $9.12
07/27/2020, $9.27, 11633800, $9.6, $9.62, $9.24
07/24/2020, $9.6, 10270790, $9.76, $9.825, $9.545
