Date, Close/Last, Volume, Open, High, Low
08/21/2020, $140.33, 4382515, $138.12, $140.49, $137.19
08/20/2020, $138.57, 2761194, $137.31, $139.13, $136.62
08/19/2020, $138.48, 3803285, $139.67, $140.88, $138.03
08/18/2020, $139.31, 2760749, $138.96, $139.455, $138.2
08/17/2020, $138.28, 2380521, $137.86, $139.24, $137.63
08/14/2020, $137.35, 2062933, $137.73, $138.31, $137
08/13/2020, $137.15, 2945103, $138.11, $138.6, $136.95
08/12/2020, $138.64, 3073749, $137.47, $139.1399, $136.65
08/11/2020, $136.04, 5383829, $136.81, $138.83, $135.65
08/10/2020, $135.41, 5526700, $133.22, $135.81, $132.47
08/07/2020, $133.56, 2856748, $133.74, $134.11, $132.47
08/06/2020, $133.74, 2961770, $132.59, $133.82, $132.03
08/05/2020, $132.7, 4370266, $130.5, $132.79, $130.48
08/04/2020, $132.23, 5361540, $129.04, $132.33, $128.71
08/03/2020, $129.32, 4311843, $128.15, $129.5, $127.68
07/31/2020, $127.55, 8044132, $128.35, $128.6, $125.43
07/30/2020, $128.89, 4146867, $128.45, $129.87, $127.74
07/29/2020, $131.64, 2818329, $130.93, $132.3, $130.59
07/28/2020, $130.13, 3545276, $130.9, $131.81, $129.72
07/27/2020, $132.12, 3874495, $130.35, $132.33, $130.04
07/24/2020, $129.63, 5077126, $129.75, $131.97, $128.11
