Date, Close/Last, Volume, Open, High, Low
08/21/2020, $52.98, 2219136, $52.52, $53.34, $52.41
08/20/2020, $52.7, 1022554, $52.45, $53.01, $52.31
08/19/2020, $53.29, 1356464, $52.96, $53.97, $52.93
08/18/2020, $52.9, 1280148, $53.37, $53.37, $52.59
08/17/2020, $53.37, 1852331, $54.31, $54.41, $53.11
08/14/2020, $54.36, 1251692, $53.94, $54.59, $53.67
08/13/2020, $54.21, 1263124, $54.01, $54.5, $53.76
08/12/2020, $54.45, 2050330, $54.64, $55.53, $53.97
08/11/2020, $53.84, 2072976, $53.32, $55, $53.23
08/10/2020, $52.61, 2334940, $52.41, $52.86, $52.26
08/07/2020, $52.41, 1158945, $51.09, $52.52, $50.94
08/06/2020, $51.38, 1638165, $51.66, $51.9644, $51.19
08/05/2020, $51.86, 1542228, $51.28, $52, $51.28
08/04/2020, $51.27, 1332621, $51.37, $51.76, $51.07
08/03/2020, $51.46, 1495248, $51.05, $51.91, $50.67
07/31/2020, $50.77, 1356769, $50.96, $50.96, $50.1982
07/30/2020, $50.81, 2007096, $51.24, $51.24, $50.4
07/29/2020, $52.235, 1141588, $51.83, $52.3, $51.52
07/28/2020, $51.89, 1276570, $52.48, $52.82, $51.835
07/27/2020, $52.98, 1772171, $51.67, $53.18, $51.29
07/24/2020, $51.77, 2064277, $52.44, $52.44, $51.65
