Date, Close/Last, Volume, Open, High, Low
08/21/2020, $206.73, 1356122, $207.37, $207.55, $205.35
08/20/2020, $208.16, 1009104, $202.8, $208.74, $202.8
08/19/2020, $206.15, 734725, $207.47, $207.98, $205.66
08/18/2020, $206.99, 535001, $207.87, $208.95, $206.58
08/17/2020, $206.75, 490983, $207.82, $209.14, $206.36
08/14/2020, $207.29, 470178, $210.93, $211.19, $206.52
08/13/2020, $210.3, 638371, $205.22, $211.73, $205.22
08/12/2020, $205.22, 608507, $202.14, $205.47, $202.05
08/11/2020, $201.8, 584298, $206.83, $206.86, $201.5103
08/10/2020, $206.3, 497522, $210, $210, $205.09
08/07/2020, $210.4, 408997, $211.31, $212.19, $208.82
08/06/2020, $211.8, 548837, $211.47, $213.6995, $208.87
08/05/2020, $212.16, 597544, $215, $215.75, $211.14
08/04/2020, $214.38, 841731, $211.87, $214.72, $211.34
08/03/2020, $212.05, 405093, $211.63, $213.51, $211.14
07/31/2020, $211.68, 548303, $209.19, $211.73, $208.18
07/30/2020, $208.48, 537140, $205.19, $208.99, $204.45
07/29/2020, $208.73, 541676, $206.83, $211.15, $206.83
07/28/2020, $206.42, 599302, $209.47, $210.4, $206.19
07/27/2020, $209.79, 585501, $208.26, $210.845, $207.175
07/24/2020, $208.53, 1716216, $207.1, $213, $204.575
