Date, Close/Last, Volume, Open, High, Low
08/21/2020, $294.29, 464023, $296.27, $299.84, $293.63
08/20/2020, $297.25, 449264, $300, $302.1, $295.23
08/19/2020, $301.51, 398169, $307.48, $308.45, $301.07
08/18/2020, $306.07, 431200, $310.87, $311, $304.5807
08/17/2020, $309.52, 590215, $310.67, $314.89, $308.815
08/14/2020, $306.96, 334245, $311.01, $312.89, $305.715
08/13/2020, $312.22, 443623, $308.56, $316.28, $306.99
08/12/2020, $307.98, 360573, $306.27, $309.75, $303.875
08/11/2020, $304.13, 699917, $304.95, $311.43, $302.6
08/10/2020, $302.905, 552023, $305.37, $307.21, $298.86
08/07/2020, $305.81, 818557, $301.1, $309.1, $299.99
08/06/2020, $301.8, 633247, $294.52, $301.9, $292.34
08/05/2020, $298.51, 719788, $289.7, $299.66, $287.23
08/04/2020, $288.27, 824792, $286.65, $289.29, $279.83
08/03/2020, $287.36, 627394, $296.01, $297.7505, $287
07/31/2020, $293.82, 579001, $297.43, $297.6, $288.5301
07/30/2020, $296.13, 755174, $296.83, $296.83, $289.73
07/29/2020, $300.24, 816884, $299.07, $306.49, $299.07
07/28/2020, $299.11, 448513, $307.87, $308.47, $299.06
07/27/2020, $308.75, 649310, $296.4, $309.46, $294.57
07/24/2020, $298.14, 796575, $298.06, $303.3, $293.93
