Date, Close/Last, Volume, Open, High, Low
08/21/2020, $95.63, 6789944, $96.568, $97.59, $95.05
08/20/2020, $97, 6029014, $99.53, $99.72, $96.82
08/19/2020, $100.44, 5470234, $103.43, $104.4, $100.2
08/18/2020, $102.67, 4320967, $102.16, $103.545, $101.55
08/17/2020, $102.18, 3473757, $100.29, $102.72, $99.97
08/14/2020, $99.77, 2182239, $98.94, $100.1, $98.51
08/13/2020, $99.48, 2541557, $98.22, $100.25, $97.99
08/12/2020, $97.97, 4012259, $98.89, $100.18, $97.89
08/11/2020, $98.22, 6512114, $98.9, $99.885, $96.99
08/10/2020, $99.34, 7090479, $103.68, $103.93, $99
08/07/2020, $103.91, 4631415, $101.51, $103.99, $100.22
08/06/2020, $102.38, 9840791, $100.905, $103.69, $99.39
08/05/2020, $98, 5284272, $100.72, $100.97, $97.62
08/04/2020, $99.65, 5032058, $100.2, $101.83, $99.325
08/03/2020, $100.54, 5105411, $100.52, $101.35, $99.275
07/31/2020, $99.79, 3472224, $100.47, $100.47, $98.86
07/30/2020, $100.45, 3604703, $99.7, $100.68, $98.84
07/29/2020, $101.365, 2144494, $100.3, $101.71, $99.69
07/28/2020, $99.9, 3800021, $100.86, $101.31, $99.18
07/27/2020, $101.15, 2737471, $100.17, $101.53, $99.5
07/24/2020, $100.63, 2095136, $101.79, $102.17, $99.87
