Date, Close/Last, Volume, Open, High, Low
08/21/2020, $82.73, 1480916, $82.76, $83.025, $81.82
08/20/2020, $83.01, 1119345, $82.19, $83.18, $81.91
08/19/2020, $82.67, 1231656, $82.78, $83.58, $82.35
08/18/2020, $82.98, 1372387, $83.44, $83.83, $82.6
08/17/2020, $83.45, 2608965, $83.34, $83.91, $83.285
08/14/2020, $83.32, 1385765, $83.49, $83.88, $82.88
08/13/2020, $83.82, 2197829, $83, $83.975, $82.79
08/12/2020, $82.65, 2035159, $81.24, $83.07, $81.24
08/11/2020, $80.6, 2323808, $82.28, $82.44, $80.15
08/10/2020, $82, 1265861, $83.19, $83.36, $81.5762
08/07/2020, $83.19, 1824589, $82.95, $83.84, $82.42
08/06/2020, $83.51, 2183854, $82.98, $83.825, $82.62
08/05/2020, $83.1, 3529695, $82.03, $83.96, $81.31
08/04/2020, $78.01, 2494309, $77.48, $78.25, $77.21
08/03/2020, $77.84, 1574099, $78.69, $78.79, $77.15
07/31/2020, $78.48, 2102712, $77.76, $78.48, $76.81
07/30/2020, $77.82, 2159356, $76.73, $78, $76.0144
07/29/2020, $77.31, 1488959, $76.22, $77.51, $75.81
07/28/2020, $76.19, 1740984, $76.93, $77.02, $75.93
07/27/2020, $76.43, 2027028, $75.29, $76.73, $75.27
07/24/2020, $74.88, 1586169, $75.06, $75.49, $74.59
