Date, Close/Last, Volume, Open, High, Low
08/21/2020, $237.64, 1959880, $238.88, $238.88, $235.51
08/20/2020, $238.73, 1172760, $240.13, $240.6888, $237.3
08/19/2020, $240.49, 1900689, $241.02, $243.73, $238.5
08/18/2020, $241.5, 1123752, $243.52, $244.305, $240.02
08/17/2020, $243.01, 1697623, $240.21, $244.74, $240.21
08/14/2020, $239.71, 1224955, $239.214, $240.06, $238.615
08/13/2020, $240.46, 1362866, $241.31, $242.77, $239.61
08/12/2020, $241.72, 2325724, $234.69, $243, $234.69
08/11/2020, $234.65, 2296518, $238.18, $238.9, $234.36
08/10/2020, $238.17, 1533218, $240.26, $240.67, $236.21
08/07/2020, $240.69, 1352305, $243.58, $243.62, $238.57
08/06/2020, $241.55, 1747022, $240.85, $242.2, $239.105
08/05/2020, $241.47, 1736620, $243.91, $245.41, $240.8
08/04/2020, $243.59, 1912142, $245.97, $246.17, $241.3385
08/03/2020, $247.36, 1853907, $244.85, $249.02, $244.53
07/31/2020, $244.67, 2829889, $245.63, $246.1, $239.3942
07/30/2020, $246.14, 1967707, $246.4, $247.82, $245.2
07/29/2020, $248.85, 3286809, $250.4, $252.85, $245.74
07/28/2020, $255.27, 2266603, $254.46, $258.4, $253.77
07/27/2020, $253.65, 2155979, $247.3, $255.0964, $247.0345
07/24/2020, $247.98, 2187982, $251.26, $251.83, $245.5
