Date, Close/Last, Volume, Open, High, Low
08/21/2020, $307.57, 254002, $310, $310.5, $304.45
08/20/2020, $310.01, 214550, $311.16, $315, $309.04
08/19/2020, $314.35, 231123, $312.38, $317.69, $311.49
08/18/2020, $313.2, 207465, $311.99, $314.56, $306.5
08/17/2020, $309.55, 189405, $307.76, $313.8, $305.68
08/14/2020, $307.35, 263670, $307.48, $310.615, $303.67
08/13/2020, $308.37, 185442, $304.29, $310.23, $304.055
08/12/2020, $302.34, 248780, $294.85, $307.24, $294.85
08/11/2020, $294.87, 429454, $300.01, $302.05, $294.09
08/10/2020, $300.02, 371903, $306.96, $308.6204, $298.71
08/07/2020, $310.82, 445410, $310.48, $316.88, $307.44
08/06/2020, $314.98, 442425, $317.04, $318.46, $308.4844
08/05/2020, $317, 466694, $305.36, $319.19, $303.11
08/04/2020, $305.35, 372272, $308.93, $310.969, $302.83
08/03/2020, $308.35, 372670, $300.5, $309.17, $298.3
07/31/2020, $299.94, 282274, $300.2, $302.97, $294.22
07/30/2020, $298.91, 277300, $298.41, $300.94, $292.29
07/29/2020, $299.1, 299328, $294.91, $301.48, $294.91
07/28/2020, $294.89, 250176, $299.46, $299.56, $294.14
07/27/2020, $298.61, 261281, $293, $300.37, $290.045
07/24/2020, $292.94, 184348, $293.2, $294.87, $286.85
