Date, Close/Last, Volume, Open, High, Low
08/21/2020, $693.88, 529843, $690.54, $694.975, $686.6825
08/20/2020, $693.05, 289562, $689.25, $695.205, $687.01
08/19/2020, $691.41, 506178, $695, $699, $689.66
08/18/2020, $692.39, 405514, $691.63, $696.195, $690.735
08/17/2020, $694, 421320, $685.02, $695.06, $684.34
08/14/2020, $684.52, 295953, $692.54, $692.54, $681.35
08/13/2020, $690.56, 274622, $682.72, $694, $680.088
08/12/2020, $683.09, 479221, $676.24, $685.995, $672.77
08/11/2020, $675, 335330, $685.99, $685.99, $671.6243
08/10/2020, $683, 301610, $684.74, $685.34, $675.99
08/07/2020, $685.85, 370119, $691.02, $694.1, $680.02
08/06/2020, $691.25, 336991, $690.2, $692.53, $676.09
08/05/2020, $692.89, 471362, $687.65, $697.565, $685.32
08/04/2020, $683.5, 398852, $687.23, $689.4099, $681.5
08/03/2020, $688.94, 489554, $685.75, $693.24, $685.37
07/31/2020, $685.44, 547284, $687.85, $690.64, $675.72
07/30/2020, $687.39, 546979, $688.96, $692.29, $680.11
07/29/2020, $695.79, 801060, $682.72, $704, $680.005
07/28/2020, $679.69, 429717, $680, $685, $674.25
07/27/2020, $685.35, 558331, $673.07, $689.83, $668.08
07/24/2020, $675.33, 790382, $665.13, $677.1, $658.98
