Date, Close/Last, Volume, Open, High, Low
08/21/2020, $87.02, 1300373, $87.04, $87.44, $86.46
08/20/2020, $87.18, 984437, $87.67, $88.3509, $86.89
08/19/2020, $88.11, 1402053, $88.46, $89.05, $87.76
08/18/2020, $88.56, 986522, $88.96, $89.4763, $88.3776
08/17/2020, $88.61, 1856698, $89.25, $89.53, $88.37
08/14/2020, $88.95, 1365599, $88.5, $89.455, $88.01
08/13/2020, $88.5, 1550075, $90.02, $90.02, $88.25
08/12/2020, $90.33, 1575666, $90.61, $90.99, $89.87
08/11/2020, $90.39, 1522764, $90.48, $91.3, $89.81
08/10/2020, $89.85, 2262929, $88.58, $90.64, $87.36
08/07/2020, $88.6, 1361667, $87.06, $88.63, $86.81
08/06/2020, $87.36, 1434900, $86.53, $87.39, $86.53
08/05/2020, $86.9, 1467870, $85.6, $86.97, $85
08/04/2020, $84.91, 1415323, $84.71, $85.3, $84.5
08/03/2020, $85.61, 1309128, $84.97, $86.18, $84.745
07/31/2020, $85.08, 1521494, $84.23, $85.09, $83.7
07/30/2020, $84.61, 1238401, $85.13, $85.13, $84.025
07/29/2020, $85.99, 1643827, $85.06, $86.2, $85.01
07/28/2020, $85.45, 1997148, $85.97, $86.63, $85.01
07/27/2020, $85.92, 1586883, $85.74, $86.8912, $85.27
07/24/2020, $85.74, 2678697, $86.5, $87.24, $85.12
