Date, Close/Last, Volume, Open, High, Low
08/21/2020, $111.15, 556490, $112, $112.07, $110.53
08/20/2020, $112.32, 630188, $111.31, $113.14, $111.03
08/19/2020, $111.99, 541041, $110.87, $112.94, $110.79
08/18/2020, $110.98, 750190, $113.68, $114.33, $110.77
08/17/2020, $113.62, 407914, $114.01, $115.12, $113.39
08/14/2020, $113.52, 533088, $113.59, $113.8599, $112.8125
08/13/2020, $114.58, 490761, $115.87, $116.015, $113.802
08/12/2020, $116.61, 855920, $118.5, $118.5, $116.28
08/11/2020, $117.21, 1123210, $114.41, $119.95, $113.91
08/10/2020, $113, 675875, $114.23, $115.01, $112.98
08/07/2020, $114.77, 678383, $113.74, $114.85, $112.85
08/06/2020, $114.79, 784415, $115.9, $117.95, $114.42
08/05/2020, $116.75, 1293249, $121.93, $121.93, $115.46
08/04/2020, $119.52, 996381, $116.96, $119.83, $116.695
08/03/2020, $117.46, 537427, $116.68, $118.42, $116.05
07/31/2020, $116.25, 769317, $115.32, $116.4, $113.55
07/30/2020, $115.69, 529231, $113.47, $115.84, $112.4
07/29/2020, $115.64, 541661, $113.76, $116.01, $113.36
07/28/2020, $113.85, 465151, $115.54, $116.79, $113.68
07/27/2020, $116.3, 761331, $115.28, $116.54, $114.26
07/24/2020, $114.56, 920663, $118.02, $118.29, $113.72
