Date, Close/Last, Volume, Open, High, Low
08/21/2020, $353.44, 2555541, $355.92, $356.71, $350.33
08/20/2020, $358.5, 2214003, $360.1, $363.4, $355.27
08/19/2020, $372.19, 1074829, $374.03, $376.19, $368.26
08/18/2020, $374.57, 1047285, $381.95, $382.7021, $372.93
08/17/2020, $379.08, 1418435, $376.55, $384.17, $372.81
08/14/2020, $373.64, 1344708, $379, $384.99, $373
08/13/2020, $377.02, 1076446, $380.01, $382.45, $374.3801
08/12/2020, $381.52, 1223566, $372.18, $383.28, $369.93
08/11/2020, $369.01, 1110113, $378.86, $380.87, $367.39
08/10/2020, $375.76, 929245, $372.44, $376.82, $369.15
08/07/2020, $372.44, 1385459, $378.38, $381.69, $366.45
08/06/2020, $377.81, 1699860, $377, $379.6, $370.79
08/05/2020, $383.47, 846470, $384.58, $387.09, $382.28
08/04/2020, $384.96, 1148235, $382.18, $385.75, $380.22
08/03/2020, $381.41, 1517996, $380.8, $387.695, $379.18
07/31/2020, $377.16, 2040329, $379.56, $380.16, $369.29
07/30/2020, $378.54, 2567844, $367.775, $381.48, $367.08
07/29/2020, $360.83, 2167323, $352.1, $361.84, $349
07/28/2020, $348.93, 1332399, $354.61, $358.93, $348.6
07/27/2020, $358.08, 1752260, $347.44, $360.0773, $346.675
07/24/2020, $345.72, 2003052, $344.21, $348, $336.28
