Date, Close/Last, Volume, Open, High, Low
08/21/2020, $135.32, 1280126, $133.84, $135.57, $133.34
08/20/2020, $134.34, 617949, $133.76, $135.36, $133.27
08/19/2020, $134.68, 370011, $134.93, $135.98, $134.36
08/18/2020, $134.53, 517651, $135.07, $135.3418, $133.86
08/17/2020, $134.81, 542701, $136.46, $136.82, $134.31
08/14/2020, $136.05, 641481, $136.4, $136.885, $135.07
08/13/2020, $136.89, 752326, $138.15, $138.99, $136.17
08/12/2020, $138.29, 565383, $138.11, $139.185, $136.3
08/11/2020, $137.75, 595609, $139.86, $140.71, $137.15
08/10/2020, $139.62, 562969, $140.59, $140.845, $138.03
08/07/2020, $140.58, 687088, $141, $141.75, $139.96
08/06/2020, $141.34, 594064, $140, $141.86, $140
08/05/2020, $140.79, 725444, $140.16, $140.93, $138.365
08/04/2020, $140.68, 827802, $138.91, $141.329, $138.58
08/03/2020, $139.05, 993105, $135.3, $139.42, $135.3
07/31/2020, $135.9, 1263612, $136.19, $136.35, $133.54
07/30/2020, $135, 830277, $136.52, $137.15, $134.645
07/29/2020, $137.74, 1436661, $138.3, $140.81, $136.57
07/28/2020, $137.97, 3898712, $144.7535, $145.3376, $136.3701
07/27/2020, $151.24, 1416920, $152.88, $154.2126, $149.89
07/24/2020, $152.34, 675661, $154.21, $155.275, $151.48
