Date, Close/Last, Volume, Open, High, Low
08/21/2020, $31.59, 2072409, $32.08, $32.33, $31.33
08/20/2020, $32.13, 1379743, $32.45, $32.6, $31.88
08/19/2020, $32.91, 1691753, $32.94, $33.47, $32.61
08/18/2020, $32.74, 1209701, $33.88, $34.2422, $32.68
08/17/2020, $33.88, 1283663, $34.21, $34.38, $33.66
08/14/2020, $34.49, 836686, $33.82, $34.94, $33.78
08/13/2020, $34.26, 867578, $34.23, $35, $33.99
08/12/2020, $34.69, 1489851, $35.61, $35.76, $33.92
08/11/2020, $35.39, 1696732, $35.52, $36.51, $35.19
08/10/2020, $34.7, 1693985, $33.97, $35.08, $33.91
08/07/2020, $33.79, 1032772, $32.32, $33.79, $32.02
08/06/2020, $32.57, 1130203, $32.75, $33.05, $32.335
08/05/2020, $33.07, 1402383, $32.61, $33.13, $32.4
08/04/2020, $32.23, 1095352, $32.27, $32.48, $31.92
08/03/2020, $32.45, 1555382, $32.6, $32.745, $32.04
07/31/2020, $32.47, 1442458, $32.6, $32.69, $31.94
07/30/2020, $32.78, 1335997, $32.71, $32.81, $31.67
07/29/2020, $33.37, 1866059, $32.13, $33.415, $31.855
07/28/2020, $32.26, 1196548, $32.32, $32.75, $32.19
07/27/2020, $32.41, 1470757, $33.39, $33.5, $32.37
07/24/2020, $33.63, 1520068, $34.25, $34.49, $33.615
