Date, Close/Last, Volume, Open, High, Low
08/21/2020, $213.1, 2014151, $213.61, $214.45, $207.29
08/20/2020, $215.16, 2520998, $206.5, $216.192, $202.1
08/19/2020, $198.22, 833349, $200.66, $201.8, $197.47
08/18/2020, $200.09, 860843, $201.42, $201.61, $199.3069
08/17/2020, $200.21, 618958, $197.94, $200.47, $197.25
08/14/2020, $196.16, 459111, $195.77, $198.28, $195.46
08/13/2020, $196.35, 601336, $195.15, $198.5, $194.14
08/12/2020, $194.34, 802155, $191.2, $195.07, $191.04
08/11/2020, $191.04, 1179718, $195.87, $195.87, $190.5
08/10/2020, $195.64, 745817, $197.91, $198.19, $194.4
08/07/2020, $198.79, 518301, $201.35, $202.22, $196.14
08/06/2020, $202.26, 465906, $201.21, $202.58, $198.895
08/05/2020, $201.56, 465224, $202.44, $203.705, $200.755
08/04/2020, $201.85, 560519, $202, $202.8, $199.45
08/03/2020, $202.8, 513334, $200.74, $204.11, $200.02
07/31/2020, $199.22, 985479, $200.6, $200.6, $194.93
07/30/2020, $199.34, 375059, $195.43, $200.105, $193.9
07/29/2020, $198.42, 609094, $196, $199.85, $196
07/28/2020, $194.9, 423865, $196.65, $197.87, $194.365
07/27/2020, $197.09, 549199, $194.61, $198.09, $194.12
07/24/2020, $193.37, 1206479, $195.82, $196.275, $190.92
