Date, Close/Last, Volume, Open, High, Low
08/21/2020, $39.21, 2582523, $40.01, $40.38, $39.06
08/20/2020, $40.63, 2566993, $42.42, $42.81, $40.62
08/19/2020, $43.3, 1057576, $44.45, $44.78, $43.2
08/18/2020, $44.49, 1604506, $44.644, $45.33, $44.33
08/17/2020, $45.08, 1712731, $45.31, $45.8, $44.35
08/14/2020, $45.51, 1775662, $44.4, $45.81, $44.1
08/13/2020, $44.58, 1508169, $44.45, $45, $43.88
08/12/2020, $44.57, 1702567, $45.114, $45.76, $44.1
08/11/2020, $44.45, 2717184, $45.69, $46.95, $44.2
08/10/2020, $44.67, 2869322, $42.26, $44.88, $42.26
08/07/2020, $42.01, 1584248, $40.29, $42.2, $39.9
08/06/2020, $40.73, 1706296, $41.1, $41.7, $40.35
08/05/2020, $41.63, 1974619, $42.15, $43.2638, $41.03
08/04/2020, $41.07, 2728182, $39.77, $41.4454, $39.27
08/03/2020, $40.01, 2155935, $39.87, $40.64, $38.83
07/31/2020, $39.86, 2380841, $39.42, $40.07, $39.12
07/30/2020, $39.51, 1717881, $39.37, $39.945, $38.485
07/29/2020, $40.76, 1644389, $39.04, $40.82, $38.6601
07/28/2020, $38.88, 1534239, $39.64, $40.28, $38.76
07/27/2020, $40.05, 1231942, $41, $41.1, $39.685
07/24/2020, $40.73, 1026043, $41.38, $41.87, $40.32
