Date, Close/Last, Volume, Open, High, Low
08/21/2020, $130.67, 948166, $131, $131.05, $129.45
08/20/2020, $130.72, 833913, $130.63, $132.3435, $130.51
08/19/2020, $132.46, 791792, $132.32, $134.41, $132.13
08/18/2020, $132.61, 996512, $134.59, $135.145, $131.17
08/17/2020, $133.81, 1781715, $131.4, $135.3, $131.31
08/14/2020, $131.68, 716977, $133, $133.24, $131.51
08/13/2020, $132, 999454, $132.03, $133.06, $130.145
08/12/2020, $131.43, 953777, $128.89, $131.83, $128.21
08/11/2020, $127.62, 1190626, $129.46, $130.54, $127.16
08/10/2020, $129.47, 1176773, $130.59, $131.16, $127.18
08/07/2020, $130.97, 1238453, $135.4, $135.75, $128.39
08/06/2020, $135.23, 1235079, $133.03, $136.0584, $133.03
08/05/2020, $133.62, 1252535, $131.3, $133.63, $130.5
08/04/2020, $131.25, 1304039, $132.44, $132.99, $129.31
08/03/2020, $133.325, 2254164, $129.02, $134.4, $129.02
07/31/2020, $128.15, 2097060, $130, $130.86, $124.89
07/30/2020, $128.67, 5256812, $121.11, $129.92, $121.11
07/29/2020, $115.28, 2677825, $114.55, $116.01, $113.72
07/28/2020, $113.39, 993117, $113.64, $114.88, $112.65
07/27/2020, $115.15, 1494886, $113.91, $115.87, $113
07/24/2020, $111.92, 2527920, $117.33, $117.49, $111.31
