Date, Close/Last, Volume, Open, High, Low
08/21/2020, $68.51, 2526404, $68.76, $68.88, $68.08
08/20/2020, $68.995, 2360142, $68.82, $69.35, $68.39
08/19/2020, $68.95, 3472906, $68.81, $69.79, $68.61
08/18/2020, $68.9, 4442172, $68.97, $69.5, $68.71
08/17/2020, $68.97, 3793417, $68.84, $69.33, $68.7
08/14/2020, $68.6, 2722978, $69.62, $69.864, $68.56
08/13/2020, $69.4, 3941254, $69.84, $70.13, $69.06
08/12/2020, $70.1, 3735584, $69.06, $70.66, $68.96
08/11/2020, $68.77, 3857315, $68.83, $70.69, $68.61
08/10/2020, $68.91, 3513063, $68.68, $69.41, $68.26
08/07/2020, $68.69, 5036912, $68.72, $69.524, $68.32
08/06/2020, $69.09, 3027364, $68.37, $69.45, $68.335
08/05/2020, $68.89, 3648254, $68.93, $69.05, $67.97
08/04/2020, $69.18, 5501267, $68.8, $69.86, $68.7
08/03/2020, $68.88, 4269642, $68.53, $69.19, $68.21
07/31/2020, $68.09, 4205389, $69.06, $69.15, $67.01
07/30/2020, $69.01, 3367999, $68.65, $69.25, $67.9
07/29/2020, $69.9, 3207675, $68.69, $70.17, $68.69
07/28/2020, $68.94, 3944102, $68.58, $69.23, $67.76
07/27/2020, $68.91, 4803337, $67.41, $69.26, $67.33
07/24/2020, $67.13, 4475569, $67.4, $68.21, $66.591
