Date, Close/Last, Volume, Open, High, Low
08/21/2020, $115.01, 2841035, $114.34, $115.25, $113.3821
08/20/2020, $115.4, 2268754, $114.56, $115.86, $114.51
08/19/2020, $115.14, 2700447, $116.69, $116.93, $114.92
08/18/2020, $116.02, 2363260, $117.68, $117.73, $115.86
08/17/2020, $116.87, 3308932, $115.98, $117.32, $115.82
08/14/2020, $115.49, 2027736, $115.7, $116.09, $114.33
08/13/2020, $115.37, 3030470, $115.15, $117.15, $114.89
08/12/2020, $115.25, 3512765, $114.27, $116.24, $114.07
08/11/2020, $113.59, 4763144, $116.08, $116.2, $113.28
08/10/2020, $116.07, 4812695, $115.06, $116.65, $113.6
08/07/2020, $115.09, 13771170, $113.24, $118, $113.09
08/06/2020, $108.1, 4016593, $107.32, $108.3, $107.18
08/05/2020, $107.9, 3114618, $108.74, $109.16, $107.26
08/04/2020, $108.39, 2991189, $106.63, $108.42, $106.3838
08/03/2020, $106.88, 4548307, $107.98, $108.74, $106.82
07/31/2020, $107.38, 4119560, $105.63, $107.42, $105.05
07/30/2020, $105.48, 2689603, $104.72, $105.95, $104.59
07/29/2020, $105.78, 3606340, $105.22, $106.37, $104.54
07/28/2020, $104.52, 3670038, $105, $105.5, $104
07/27/2020, $105.62, 7958877, $104.53, $106.27, $104.35
07/24/2020, $104.93, 4989983, $104.52, $105.23, $104.23
