Date, Close/Last, Volume, Open, High, Low
08/21/2020, $34.56, 4749803, $34.77, $34.9, $34.3167
08/20/2020, $34.85, 4553585, $35.26, $35.31, $34.73
08/19/2020, $35.43, 4002542, $35.75, $35.87, $35.38
08/18/2020, $35.66, 4677850, $36, $36.01, $35.26
08/17/2020, $35.93, 7010765, $35.68, $36.3686, $35.54
08/14/2020, $35.59, 3107749, $35.34, $35.665, $35.13
08/13/2020, $35.57, 5121471, $35.44, $35.67, $35.1333
08/12/2020, $35.33, 4828945, $34.89, $35.5, $34.765
08/11/2020, $34.63, 4790788, $35, $35.25, $34.49
08/10/2020, $34.79, 5966491, $35.33, $35.35, $34.52
08/07/2020, $35.41, 4163516, $35.14, $35.45, $34.98
08/06/2020, $35.28, 5721621, $34.84, $35.33, $34.67
08/05/2020, $34.78, 3966378, $35.15, $35.23, $34.65
08/04/2020, $35.08, 6284318, $34.79, $35.1399, $34.38
08/03/2020, $34.79, 6208030, $34.474, $35.05, $34.25
07/31/2020, $34.38, 11209470, $34.12, $34.83, $33.83
07/30/2020, $34.39, 12148730, $35.063, $35.5, $33.36
07/29/2020, $35.57, 6796304, $35.55, $35.87, $35.4
07/28/2020, $35.25, 6037360, $34.76, $35.39, $34.76
07/27/2020, $34.84, 4244520, $34.67, $34.8875, $34.49
07/24/2020, $34.68, 4331505, $34.9, $35.25, $34.511
