Date, Close/Last, Volume, Open, High, Low
08/21/2020, $110.57, 1438342, $110.735, $111.2, $109.31
08/20/2020, $111.26, 1288580, $108, $111.63, $107.97
08/19/2020, $108.53, 1195435, $109.23, $109.585, $107.4
08/18/2020, $109.15, 995266, $109.57, $110.46, $108.42
08/17/2020, $109.52, 1070429, $108.43, $109.905, $108.11
08/14/2020, $108, 737189, $108.92, $109.65, $107.53
08/13/2020, $108.66, 1044292, $107.63, $109.695, $107.27
08/12/2020, $107.28, 1290715, $105.37, $108.14, $104.8
08/11/2020, $105.18, 1474608, $106.55, $107, $104.68
08/10/2020, $107.19, 1969268, $108.3465, $108.3465, $105.6401
08/07/2020, $108.53, 1336480, $110.41, $110.8, $107.38
08/06/2020, $110.52, 1120240, $109.26, $110.695, $108.655
08/05/2020, $109.65, 1177347, $109.81, $110.93, $109.17
08/04/2020, $109.14, 2132068, $111.53, $112, $108.45
08/03/2020, $111.77, 1808496, $109.75, $112.32, $109.7
07/31/2020, $109.25, 1757403, $108.29, $109.26, $106.08
07/30/2020, $107.65, 1427362, $104.78, $108.04, $104.45
07/29/2020, $105.97, 2254128, $104.43, $107, $104.43
07/28/2020, $104.05, 1122958, $105.44, $105.985, $103.885
07/27/2020, $105.27, 1442456, $103.62, $105.41, $103.32
07/24/2020, $102.59, 2006777, $101.99, $103.36, $100.63
