Date, Close/Last, Volume, Open, High, Low
08/21/2020, $86.29, 1232577, $86.74, $86.95, $86.06
08/20/2020, $86.86, 906121, $86.51, $87.18, $86.32
08/19/2020, $87.17, 642663, $86.98, $87.74, $86.8358
08/18/2020, $86.84, 1075882, $86.46, $87.16, $86.26
08/17/2020, $86.5, 735979, $86.27, $86.98, $86.12
08/14/2020, $86.1, 676079, $86.18, $87.135, $85.31
08/13/2020, $85.98, 1194679, $85.94, $86.2, $85.14
08/12/2020, $86.15, 995742, $86.52, $87, $85.96
08/11/2020, $85.69, 1397575, $85.56, $86.665, $85.19
08/10/2020, $85.19, 1283009, $84.99, $86.03, $84.69
08/07/2020, $85.45, 1169312, $84.69, $85.705, $84.5
08/06/2020, $84.53, 1154789, $84.54, $85.07, $83.97
08/05/2020, $84.09, 2043825, $81.69, $85.975, $81.51
08/04/2020, $86.84, 1803777, $86, $87.65, $84.21
08/03/2020, $85.83, 2020001, $84.35, $85.88, $84.31
07/31/2020, $84.51, 2042252, $82.87, $84.9, $82.65
07/30/2020, $83.02, 921219, $83.5, $83.79, $82.08
07/29/2020, $83.82, 1366925, $81.5, $83.94, $80.99
07/28/2020, $79.45, 612692, $81.05, $81.13, $79.41
07/27/2020, $81.08, 897298, $80.11, $81.17, $79.69
07/24/2020, $80.19, 576800, $80.34, $80.79, $80.03
