Date, Close/Last, Volume, Open, High, Low
08/21/2020, $141.42, 620583, $138.59, $141.65, $137.96
08/20/2020, $138.72, 470626, $137.26, $139.44, $136.66
08/19/2020, $138.27, 692512, $139.15, $139.88, $137.85
08/18/2020, $138, 859483, $139.35, $139.62, $137.78
08/17/2020, $139.42, 521884, $137.76, $139.43, $137.45
08/14/2020, $137.19, 637969, $137.3, $138.94, $136.73
08/13/2020, $136.71, 527521, $136.45, $137.98, $136.04
08/12/2020, $137.31, 855816, $138.53, $141, $136.98
08/11/2020, $137.69, 852224, $137.46, $139.83, $136.86
08/10/2020, $136.7, 752773, $136.66, $138.06, $135.95
08/07/2020, $135.95, 962468, $133.11, $136.05, $133.11
08/06/2020, $133.89, 758237, $132.45, $134.09, $131.03
08/05/2020, $131.84, 785616, $132.4, $133.6, $131.33
08/04/2020, $132.17, 832169, $130.57, $132.24, $129.94
08/03/2020, $130.62, 847324, $130.12, $132.28, $130.1
07/31/2020, $129.4, 990255, $128.63, $129.61, $125.54
07/30/2020, $129.04, 532757, $128.54, $129.45, $127.58
07/29/2020, $130.21, 853710, $129.13, $131.665, $128.86
07/28/2020, $127.98, 854540, $130.16, $130.95, $127.71
07/27/2020, $130.35, 981349, $131.1, $132.6673, $129.755
07/24/2020, $130.79, 912196, $131.05, $132.19, $130.2
