Date, Close/Last, Volume, Open, High, Low
08/21/2020, $41.25, 11407030, $41.36, $41.75, $40.84
08/20/2020, $41.42, 2017874, $41.49, $41.5, $40.8087
08/19/2020, $41.49, 2231485, $41.2, $42.25, $40.91
08/18/2020, $41, 3545381, $41.37, $41.37, $40.08
08/17/2020, $41.31, 3236536, $41.33, $41.855, $40.94
08/14/2020, $41.56, 2375495, $41.82, $42.04, $41.34
08/13/2020, $41.74, 3674602, $42.72, $42.98, $41.44
08/12/2020, $43.28, 2922077, $44, $44.01, $42.93
08/11/2020, $43.57, 1654317, $44.36, $45.36, $43.355
08/10/2020, $44.27, 2351654, $42.79, $44.32, $42.74
08/07/2020, $42.8, 2426770, $42.29, $42.845, $41.505
08/06/2020, $42.21, 3683436, $42.38, $42.87, $41.88
08/05/2020, $43.1, 2354511, $43.51, $43.68, $42.81
08/04/2020, $43.23, 2810702, $42.62, $44.12, $42.61
08/03/2020, $42.77, 3833039, $44.17, $44.29, $42.49
07/31/2020, $44.3, 6108956, $42.91, $44.41, $42.05
07/30/2020, $42.85, 2526321, $41.82, $43.285, $41.46
07/29/2020, $42.43, 2993407, $42.7, $42.89, $41.39
07/28/2020, $42.95, 1393584, $44.04, $44.115, $42.82
07/27/2020, $44.09, 1762167, $43.22, $44.34, $42.73
07/24/2020, $43.2, 1989767, $44.65, $44.67, $43.06
