Date, Close/Last, Volume, Open, High, Low
08/21/2020, $81.62, 1410373, $81.96, $82.02, $81.13
08/20/2020, $81.83, 1786037, $82.27, $82.63, $81.72
08/19/2020, $82.99, 1101834, $83.14, $83.72, $82.8
08/18/2020, $83.55, 1962062, $82.21, $83.64, $81.8301
08/17/2020, $81.84, 2120206, $83.05, $83.05, $81.78
08/14/2020, $82.75, 1041506, $83.34, $83.39, $82.41
08/13/2020, $83.67, 815946, $82.8, $83.95, $82.57
08/12/2020, $83.25, 1142976, $83.07, $83.83, $83.07
08/11/2020, $82.8, 2137338, $83.8, $84.12, $82.6
08/10/2020, $83.53, 2027205, $83.64, $84.37, $83.1
08/07/2020, $83.96, 2364265, $82.51, $84.1, $82.26
08/06/2020, $82.72, 1577979, $82.12, $82.91, $81.69
08/05/2020, $81.96, 1044837, $82, $82.42, $81.73
08/04/2020, $81.98, 1477810, $81.77, $82.2, $81.06
08/03/2020, $81.55, 1181826, $81.14, $81.81, $80.97
07/31/2020, $80.73, 1331249, $80.17, $80.74, $79.23
07/30/2020, $80.13, 865455, $79.49, $80.47, $78.97
07/29/2020, $80.52, 1654692, $79.81, $80.84, $79.735
07/28/2020, $79.91, 1749860, $79.51, $80.28, $79.245
07/27/2020, $79.94, 1902335, $79.52, $80.02, $79.13
07/24/2020, $79.56, 1389644, $79.95, $80.16, $78.94
