Date, Close/Last, Volume, Open, High, Low
08/21/2020, $39.46, 5629466, $39.53, $39.915, $39.3
08/20/2020, $39.71, 3645106, $40, $40.14, $39.61
08/19/2020, $40.25, 4973215, $40.769, $40.89, $40.13
08/18/2020, $40.76, 4835865, $40.65, $41.54, $40.4418
08/17/2020, $41.175, 5275574, $41.91, $41.9694, $40.81
08/14/2020, $41.91, 5687326, $40.8, $41.95, $40.78
08/13/2020, $41, 5689956, $41.33, $41.61, $40.82
08/12/2020, $41.82, 4930113, $42.3, $42.64, $41.57
08/11/2020, $41.85, 6482621, $43.38, $44.05, $41.715
08/10/2020, $42.86, 4891874, $41.63, $42.9, $41.52
08/07/2020, $41.52, 4538665, $40.67, $41.61, $40.52
08/06/2020, $40.89, 4699427, $40.83, $41.4863, $40.65
08/05/2020, $40.81, 6860335, $40.85, $41.4, $40.58
08/04/2020, $40.93, 5778496, $40.84, $41.07, $40.48
08/03/2020, $41.08, 4911763, $40.58, $41.175, $39.95
07/31/2020, $40.71, 11718130, $40.25, $40.89, $40.08
07/30/2020, $40.64, 4505618, $40.55, $40.845, $39.99
07/29/2020, $41.16, 4971298, $40.83, $41.26, $40.11
07/28/2020, $40.68, 5540925, $39.93, $41.0099, $39.84
07/27/2020, $39.84, 7974709, $40.61, $40.95, $39.225
07/24/2020, $40.51, 3987955, $40.37, $41.285, $40.3
