Date, Close/Last, Volume, Open, High, Low
08/21/2020, $134.82, 763672, $135.41, $136.11, $134.14
08/20/2020, $136.3, 607169, $136.39, $137.48, $136.16
08/19/2020, $137.14, 665067, $137.33, $138.46, $136.78
08/18/2020, $137.24, 541531, $137.77, $138.38, $137.05
08/17/2020, $137.98, 1136653, $137.07, $138.16, $136.7
08/14/2020, $136.94, 698123, $136.41, $137.82, $136.08
08/13/2020, $137.26, 817431, $137.21, $138.25, $136.76
08/12/2020, $138.45, 1116555, $140.176, $142.51, $137.67
08/11/2020, $138.96, 782428, $139.9, $140.67, $138.4
08/10/2020, $138.66, 759069, $139.85, $139.85, $137.95
08/07/2020, $139.63, 1108804, $138.54, $140.45, $137.88
08/06/2020, $138.16, 1028881, $139.05, $139.05, $136.39
08/05/2020, $138.97, 1006485, $136.49, $139.96, $136.49
08/04/2020, $137.09, 940378, $137.53, $137.94, $136.4
08/03/2020, $137.4, 990296, $138.34, $139.04, $136.89
07/31/2020, $138.1, 2523958, $134.18, $138.32, $133.2
07/30/2020, $134.47, 984282, $133.84, $135.17, $132.68
07/29/2020, $135.82, 1262565, $135, $138.1672, $134.71
07/28/2020, $133.93, 1011386, $134.76, $134.87, $132.86
07/27/2020, $134.2, 1072005, $131.86, $134.93, $131.301
07/24/2020, $133.97, 999287, $135.18, $135.49, $133.2506
