Date, Close/Last, Volume, Open, High, Low
08/21/2020, $33.53, 3229167, $33.7, $33.82, $33.24
08/20/2020, $33.89, 2975564, $33.95, $34.26, $33.275
08/19/2020, $34.05, 1416848, $34.17, $34.48, $33.96
08/18/2020, $34.36, 1511161, $35.02, $35.16, $34.29
08/17/2020, $35, 2180147, $34.77, $35.04, $33.9
08/14/2020, $34.67, 1663552, $35.02, $35.1, $34.36
08/13/2020, $35.08, 2831735, $34.54, $35.17, $34.2301
08/12/2020, $34.43, 2598229, $35.56, $35.99, $34.4
08/11/2020, $35.23, 4688138, $35.78, $36.37, $35.07
08/10/2020, $35.37, 4878649, $34.09, $35.47, $34.09
08/07/2020, $34.17, 7180974, $35, $37, $33.58
08/06/2020, $34.3, 2969544, $34.04, $34.685, $33.86
08/05/2020, $34.07, 3401797, $34.01, $34.3, $33.48
08/04/2020, $33.74, 1828784, $33.76, $34.17, $33.35
08/03/2020, $33.96, 3645034, $32.31, $34.08, $32.055
07/31/2020, $32.11, 4137511, $33.32, $33.34, $31.67
07/30/2020, $32.84, 1468882, $32.8, $33.4, $32.56
07/29/2020, $33.42, 2090088, $33.23, $33.62, $32.87
07/28/2020, $33.13, 1301781, $33.06, $33.63, $32.92
07/27/2020, $33.38, 1416652, $33.63, $33.95, $32.63
07/24/2020, $33.36, 1203232, $33.34, $33.61, $33.095
