Date, Close/Last, Volume, Open, High, Low
08/21/2020, $138.08, 1795675, $139.05, $139.05, $137.1
08/20/2020, $139.15, 1310317, $137.59, $139.476, $137.36
08/19/2020, $138.9, 1478914, $139.89, $140.51, $138.22
08/18/2020, $139.95, 2078012, $140.5, $140.79, $138.94
08/17/2020, $139.66, 1558992, $139.25, $140.735, $139.085
08/14/2020, $138.96, 2215124, $139.26, $140.1, $137.97
08/13/2020, $139.26, 2363898, $139.03, $140.54, $138.99
08/12/2020, $139.58, 2686090, $138.86, $140.28, $138.67
08/11/2020, $138.1, 2412529, $137.91, $140.04, $136.79
08/10/2020, $138.17, 2507900, $137.88, $138.87, $136.425
08/07/2020, $137.99, 3090845, $136.98, $138.98, $136.63
08/06/2020, $136.52, 2158358, $134.47, $136.96, $134.45
08/05/2020, $134.77, 2362947, $136.6, $138.24, $134.51
08/04/2020, $136.74, 2415165, $133.95, $136.79, $133.9398
08/03/2020, $134.46, 2962249, $133.36, $134.99, $132.22
07/31/2020, $132.91, 3408510, $133.66, $134.53, $129.84
07/30/2020, $132.89, 8449301, $134.269, $134.74, $132.27
07/29/2020, $137.12, 5228538, $139.93, $141.35, $135.35
07/28/2020, $146.65, 2038096, $145.85, $147.8, $145.37
07/27/2020, $145.72, 1432594, $145.25, $146.64, $144.16
07/24/2020, $145.43, 988303, $147.58, $148, $144.9
