Date, Close/Last, Volume, Open, High, Low
08/21/2020, $136.46, 4295630, $136.37, $136.66, $135.25
08/20/2020, $136.72, 2263090, $135.66, $137.15, $135.63
08/19/2020, $136.45, 3682226, $138.69, $138.795, $136.1
08/18/2020, $138.11, 2638555, $138.61, $138.61, $137.04
08/17/2020, $137.92, 2862635, $137.5, $138.89, $137.05
08/14/2020, $137.56, 2461687, $138.11, $138.172, $137.2
08/13/2020, $138.1, 2393520, $137.1, $138.61, $137.1
08/12/2020, $137.8, 4425182, $135.34, $138.68, $135.25
08/11/2020, $135.12, 3301552, $136.97, $137.45, $134.62
08/10/2020, $135.98, 3052091, $136.32, $136.88, $135.38
08/07/2020, $136.74, 3692151, $135.94, $136.76, $135.37
08/06/2020, $135.86, 2693058, $135.2735, $136.29, $135.2735
08/05/2020, $136.25, 2924634, $138.15, $138.15, $135.77
08/04/2020, $137.47, 2553613, $137.52, $137.59, $136.02
08/03/2020, $136.7, 2819273, $137.11, $137.5, $136
07/31/2020, $137.66, 4304080, $137.26, $137.7, $135.2
07/30/2020, $137.69, 2817632, $137.24, $138.22, $136.48
07/29/2020, $137.93, 3179281, $137.38, $139, $137.04
07/28/2020, $137.38, 3787724, $137.98, $138.59, $137.09
07/27/2020, $137.67, 3607669, $135.53, $137.76, $134.85
07/24/2020, $136.06, 3300145, $136.99, $138.64, $135.39
