Date, Close/Last, Volume, Open, High, Low
08/21/2020, $21.99, 2042783, $22, $22.16, $21.77
08/20/2020, $22.13, 2768007, $22.02, $22.375, $21.89
08/19/2020, $22.215, 1967427, $22.36, $22.51, $22.06
08/18/2020, $22.06, 2199112, $22.14, $22.285, $21.94
08/17/2020, $22.09, 2614758, $22.47, $22.5415, $21.7
08/14/2020, $22.62, 2470147, $21.93, $22.725, $21.85
08/13/2020, $21.97, 2462484, $21.68, $22.12, $21.53
08/12/2020, $21.82, 3153453, $22.8, $22.84, $21.81
08/11/2020, $22.48, 7525199, $21.98, $23.665, $21.95
08/10/2020, $21.78, 4900686, $21.1, $21.84, $21.1
08/07/2020, $20.98, 6863765, $21.56, $21.91, $20.88
08/06/2020, $21.63, 6525178, $21.1, $21.79, $21.07
08/05/2020, $21.12, 8065396, $23, $23, $21.055
08/04/2020, $22.01, 6025430, $21.48, $22.55, $21.3
08/03/2020, $21.34, 3774523, $21.18, $21.45, $20.83
07/31/2020, $21.1, 2581937, $21.06, $21.115, $20.69
07/30/2020, $21.15, 2603934, $20.7, $21.24, $20.55
07/29/2020, $21, 1756126, $20.87, $21.1, $20.63
07/28/2020, $20.78, 2604180, $20.1935, $21.02, $20.1935
07/27/2020, $20.875, 1861394, $21.12, $21.17, $20.64
07/24/2020, $21.15, 2344248, $21.45, $21.69, $20.86
