Date, Close/Last, Volume, Open, High, Low
08/21/2020, $44.84, 3163527, $44.81, $44.93, $44.5
08/20/2020, $45.04, 2159632, $45.19, $45.26, $44.66
08/19/2020, $45.4, 2540194, $45.18, $46, $45.11
08/18/2020, $45.06, 2218786, $45, $45.21, $44.54
08/17/2020, $44.9, 1750168, $45.2, $45.435, $44.83
08/14/2020, $45.07, 1948759, $45.07, $45.345, $44.87
08/13/2020, $44.9, 2910301, $45.65, $45.65, $44.545
08/12/2020, $45.64, 2517087, $45.71, $45.91, $45.254
08/11/2020, $45.78, 3529476, $46.38, $46.8, $45.68
08/10/2020, $46.07, 3625337, $45.4, $46.56, $45.4
08/07/2020, $45.31, 2781453, $44.95, $45.53, $44.46
08/06/2020, $44.96, 3215585, $44.5, $45.01, $44.171
08/05/2020, $45.13, 3407381, $45.662, $45.7975, $44.72
08/04/2020, $45.39, 3177385, $45.1, $45.805, $44.79
08/03/2020, $44.76, 3675504, $45.42, $45.58, $44.66
07/31/2020, $45.22, 7368660, $44.65, $45.4117, $44.16
07/30/2020, $44.4, 3771400, $44.03, $44.46, $43.68
07/29/2020, $44.31, 14154270, $45.037, $45.73, $43.53
07/28/2020, $48.57, 4440318, $49.57, $50.07, $48.32
07/27/2020, $49.58, 3403880, $48.1, $49.59, $47.86
07/24/2020, $48.04, 4081970, $49.5, $49.67, $47.73
