Date, Close/Last, Volume, Open, High, Low
08/21/2020, $102.43, 768471, $102.99, $103.13, $102.28
08/20/2020, $102.94, 607914, $103.47, $103.5, $102.3
08/19/2020, $103.99, 790614, $104.6, $105.5, $103.9
08/18/2020, $104.22, 669763, $104.72, $104.72, $103.62
08/17/2020, $104.48, 558347, $104.64, $104.97, $104.05
08/14/2020, $104.275, 607871, $104.43, $104.68, $103.67
08/13/2020, $104.62, 987183, $103.24, $104.91, $102.76
08/12/2020, $103.28, 619889, $101.82, $103.55, $101.43
08/11/2020, $101.5, 870996, $102.46, $103.44, $101.311
08/10/2020, $102.11, 805740, $101.78, $102.3, $101.53
08/07/2020, $101.89, 681193, $102.29, $102.48, $101.45
08/06/2020, $102.33, 592017, $102.09, $102.62, $100.98
08/05/2020, $102.36, 938798, $100.39, $102.62, $100.12
08/04/2020, $99.935, 829314, $99.7, $100.1, $99.18
08/03/2020, $99.97, 951747, $99.12, $100.52, $98.7
07/31/2020, $98.59, 983899, $100.01, $100.16, $97.08
07/30/2020, $100.01, 1160737, $97.58, $100.53, $97.09
07/29/2020, $98.78, 1807033, $103.12, $103.99, $95.0238
07/28/2020, $99.36, 1548080, $100.65, $100.68, $98.67
07/27/2020, $100.29, 1657368, $94.84, $100.71, $94.51
07/24/2020, $96.74, 1806732, $97, $99.22, $96.18
