Date, Close/Last, Volume, Open, High, Low
08/21/2020, $14.26, 4913394, $14.66, $14.68, $14.21
08/20/2020, $14.74, 5333182, $15.05, $15.15, $14.6
08/19/2020, $15.34, 7361960, $15.35, $15.65, $15.24
08/18/2020, $15.25, 4125401, $15.14, $15.605, $15.036
08/17/2020, $15.335, 5205510, $15.55, $15.55, $15.16
08/14/2020, $15.62, 3690003, $15.24, $15.65, $15.16
08/13/2020, $15.42, 5657894, $15.52, $15.86, $15.29
08/12/2020, $15.75, 7075270, $15.99, $16.04, $15.38
08/11/2020, $15.59, 7763363, $16.75, $16.75, $15.52
08/10/2020, $16.28, 6887954, $15.71, $16.32, $15.63
08/07/2020, $15.54, 6973208, $15.47, $15.6783, $15.12
08/06/2020, $15.6, 6019254, $16.06, $16.12, $15.4
08/05/2020, $16.24, 8381213, $16.5772, $16.83, $16.0418
08/04/2020, $15.88, 7077529, $15.62, $16.105, $15.55
08/03/2020, $15.72, 22822640, $15.32, $16.11, $14.99
07/31/2020, $15.35, 12129270, $15.94, $16.12, $15.165
07/30/2020, $16.01, 29990070, $15.65, $16.615, $15.36
07/29/2020, $13.65, 8727325, $13.45, $13.73, $13.26
07/28/2020, $13.32, 5579386, $13.6, $13.83, $13.3
07/27/2020, $13.685, 7261445, $14.12, $14.15, $13.581
07/24/2020, $14.2, 6780550, $14.378, $14.72, $14.14
